"N","stdev","correl","simnum","mean1NRNT","mean2NRNT","sd1NRNT","sd2NRNT","sddiffNRNT","corNRNT","mean1RNT","mean2RNT","sd1RNT","sd2RNT","sddiffRNT","corRNT","mean1NRT","mean2NRT","sd1NRT","sd2NRT","sddiffNRT","corNRT","mean1RT","mean2RT","sd1RT","sd2RT","sddiffRT","corRT"
20,5,0.5,31,4.43394036766577,4.61187065525064,2.0070996465777,2.58540557079451,3.04649863005704,0.137942868495126,4.5,4.55,2.11510855762212,2.37254027751291,2.96426080250425,0.131102253171003,4.29860028993758,4.53956261457208,1.74697000095923,2.19323526466312,2.70761929065235,0.0692914838231015,4.35,4.5,1.84319516629483,2.11510855762212,2.73909320377153,0.0472509405983983
20,5,0.5,32,3.66460446810915,4.580821493808,2.09683504910539,2.20166415724293,3.10453703490077,-0.0426844631501111,3.75,4.55,2.09949868703034,2.21181040398084,3.00175387328633,0.0311684775212359,3.67685131406757,4.42671409700853,1.82727876216348,1.75296194805656,2.55842937512147,-0.020875949567017,3.75,4.4,1.91599912097552,1.72900945174124,2.53968501984006,0.0317748655682754
20,5,0.5,33,3.31679758847176,4.69443265060001,2.26431735555504,2.31641355227853,2.69923450717983,0.305717785567167,3.3,4.75,2.31925577899917,2.425196682203,2.81864095657912,0.294755107992377,3.38359768775716,4.41308300878561,2.06903216331714,1.82227163581348,2.23586099749591,0.345127303724178,3.35,4.45,2.08440323404692,1.90497962414852,2.29186203313973,0.342637484800944
20,5,0.5,34,3.52125834106169,5.01504259332403,2.40089583898635,2.12576258950387,3.20797498553009,-0.000777478834746687,3.5,5.1,2.48151057560553,2.22190056151556,3.26706048467523,0.038182612609316,3.73306275999827,4.72930861661499,1.81281557775851,1.61431432217054,2.41572790513411,0.0096652356697695,3.75,4.8,1.86024899295483,1.70448325245358,2.45967477524977,0.0497970754040485
20,5,0.5,35,4.26958677031909,5.61932665324012,2.08608292765095,2.00622989945045,2.22209101407016,0.410857687609301,4.3,5.6,2.07997975698652,2.01049875980014,2.31925577899917,0.357438905220355,4.25018046706845,5.35526247248585,1.97067123771563,1.67526082666528,2.01063909569049,0.400948650893966,4.3,5.35,1.89459063763403,1.69441808051583,2.06410424053377,0.342654722214454
20,5,0.5,36,3.3618541494915,4.34960231050832,3.01415635651992,3.33609731567656,4.66304158461112,-0.0760414747981814,3.3,4.25,3.13049516849971,3.30669177975749,4.67327226728879,-0.0533861920590435,3.36781455740386,3.94857850219589,2.24617344594571,2.25723157753758,3.39013963431014,-0.13339462967948,3.3,3.9,2.2964503501113,2.24546326248235,3.3466401061363,-0.0857358920247428
20,5,0.5,37,4.71922177671696,4.83365833144916,2.08838115645418,2.85703563018768,3.80240070945118,-0.162091425202736,4.65,4.85,2.15882521659107,2.94287721724666,3.98153633399814,-0.199237853702591,4.56267136617563,4.60067501082646,1.82043294370624,1.94009928950919,2.94823597854549,-0.228513022684544,4.5,4.65,1.90567020949807,1.9269556026896,3.08263387040164,-0.293819629415697
20,5,0.5,38,3.78049577586063,5.13325107979532,2.50674271249957,2.31092974096383,3.75267910254614,-0.212194452183051,3.85,5.2,2.60111312204683,2.26181110477516,3.89702990818176,-0.280905650415667,3.71571784110656,4.94227888683613,1.92321260797583,1.90272107686506,2.96577952191479,-0.201778884317694,3.75,5.05,2.02289526747133,1.8771478925557,3.04527243617485,-0.218300669985475
20,5,0.5,39,3.25913775400113,4.49889607487745,2.74546467545131,1.67531338784875,3.02775321148138,0.127944147138987,3.2,4.55,2.6872016358247,1.84889725312998,2.96070759678902,0.18856164961459,3.31580785128674,4.46054118143785,2.04989900257638,1.60380763914309,2.52234711744914,0.0626664449320727,3.25,4.5,2.12441942533409,1.76217568871402,2.59300678952569,0.119502187602673
20,5,0.5,40,3.9344866468492,4.39364258909596,1.84746625219814,2.80358023595767,3.51524437477605,-0.104618704905866,3.95,4.4,1.7614288458372,2.89100237579323,3.48643989735873,-0.0682145128171316,4.00175968928078,4.22369017634464,1.70220055066366,2.30367924436649,3.00396865758639,-0.10448038772012,4,4.25,1.65434038373702,2.40339671911936,2.98901497592698,-0.0529487918423158
20,5,0.7,41,4.04329398971626,5.34684275250469,2.30111308142351,2.05926059271174,2.29364303771616,0.451070452960747,4,5.3,2.24780594779607,2.07997975698652,2.2964503501113,0.439028871903618,4.11185765252665,5.15569532479725,2.10207877027123,1.79233888456211,2.0874955583561,0.434433529157349,4.05,5.15,2.16369566884264,1.87153188029148,2.19808529119514,0.413963862564467
20,5,0.7,42,3.98270456063492,4.53332611858371,1.80802013689721,2.02714846886541,2.23376979158493,0.325847015327138,3.95,4.55,1.9324105480761,2.06410424053377,2.43656358531091,0.257965801432533,3.92408001498889,4.35182648553524,1.68023391660096,1.6974778164085,1.97910814121889,0.313402481371669,3.9,4.35,1.83245593039563,1.69441808051583,2.13923252347043,0.266128836700644
20,5,0.7,43,3.69615380186592,4.99000338292254,2.11273589689453,1.94691203572905,3.03139779865459,-0.113686174115817,3.75,5.05,2.2213082915966,2.08944716939295,3.1639415790734,-0.0765437860012612,3.68047870606588,4.92562866881247,2.05103268165492,1.86223832540273,2.92848767609092,-0.117995899203947,3.7,4.95,2.12998640964283,1.95945749742385,3.00657174938675,-0.0794464083912049
20,5,0.7,44,3.85442716380533,5.10842634714262,2.33519105994645,1.98104984338764,2.65036081196357,0.254344710812902,3.85,5.05,2.3902213066444,1.8771478925557,2.70671679151582,0.21290527648591,3.84391808493457,5.16678088444713,2.15722684108968,1.60267074105745,2.53653662628698,0.113984546161398,3.85,5.15,2.23076574060875,1.56524758424985,2.63778216250738,0.0670763468416129
20,5,0.7,45,4.19958541428828,4.80832715076198,2.13433183305191,2.16821453169371,2.94409402889766,0.0636210579824275,4.2,4.65,2.04167114213616,2.25423577900991,2.91050728079813,0.0846238909215271,4.14925440661346,4.68456984580121,1.93404418330404,1.9833587502514,2.61021058086831,0.112234258362579,4.15,4.5,1.95407805694439,2.01311489462161,2.66112362496905,0.100345336210682
20,5,0.7,46,4.54310940277841,5.35081274581486,2.75703890185523,2.15574063860721,3.12339189925281,0.209718237708419,4.55,5.45,2.79990601346019,2.18788530441227,3.19374388453426,0.198038361398046,4.14895642220571,5.12650509520057,1.81441223570216,1.81513012339649,2.3013862171555,0.195908914299164,4.15,5.2,1.87153188029148,1.82381901225798,2.35025194618073,0.191200540710323
20,5,0.7,47,3.81488167080175,5.32872184611043,2.16219020374868,1.8597524984753,2.75296469958317,0.069001748781281,3.75,5.3,2.07427856830932,1.78000591365073,2.54382637606794,0.135419585139443,3.89907392751851,5.15123274128657,1.85962073522507,1.57852166291334,2.32741044352818,0.0908004314792798,3.85,5.15,1.87153188029148,1.53125335660212,2.22663304943632,0.155188246097337
20,5,0.7,48,4.25867752328259,4.71668507469764,1.91838674731434,2.55237473504642,2.83051650087821,0.222917058797006,4.35,4.65,1.95407805694439,2.64127162356954,2.90371812464096,0.228932668691055,4.31684369917424,4.39289334952021,1.57779220287017,2.07338287737623,2.2176230851891,0.285888506349626,4.4,4.3,1.60262941837206,2.10513157483527,2.26878126337746,0.274565971106015
20,5,0.7,49,4.4305179864329,4.64643151347788,2.12090973206601,1.70684669436815,2.2269565829789,0.338701961704698,4.45,4.6,2.16369566884264,1.66701750693298,2.25423577900991,0.329775586707631,4.41588153407129,4.59814250065773,2.01917752513719,1.62608344224797,2.14775541550266,0.321070123796687,4.4,4.55,2.08755712181538,1.57195821559574,2.18306882018965,0.314356977662518
20,5,0.7,50,3.84048294723714,4.03118206111455,2.31226382471768,2.22387410716407,3.00571096098501,0.12231006752745,3.95,4,2.32775021267996,2.27109989583068,3.05174669570344,0.119468946144106,3.9160332639996,4.06998205787124,2.09109851655786,1.89118620099278,2.718878727676,0.0704203632493184,4,4.05,2.07744782694637,2.01246117974981,2.72367785404801,0.11330035514052
20,5,0.9,51,3.97040438048495,5.15603642411932,2.50111746735597,2.93719622604403,3.99645902636956,-0.0741174827950808,3.9,5,2.44734012434123,2.86540159764552,3.91891499484769,-0.0825580173929909,3.85794834716968,4.78788452853692,2.04975418705883,2.22909145993389,3.09074417839083,-0.041841882029013,3.8,4.75,2.04167114213616,2.24487720916101,3.03445130737702,0
20,5,0.9,52,3.79516871845862,4.69137503576372,1.9108985860631,2.80407976854171,3.31897798393647,0.0465428189572825,3.9,4.65,1.97084005599536,2.81490394339244,3.19333186829253,0.145151948454831,3.82803288114993,4.51826109511111,1.7196765267127,2.15115962765314,2.72346533721723,0.0226410017097357,3.9,4.5,1.77408241664603,2.18848661960966,2.70282503279342,0.0813354665596432
20,5,0.9,53,4.17615033175901,4.9493715775362,1.67488038999311,2.18230712953688,2.58822063706478,0.118847890654945,4.25,4.9,1.68194749276577,2.26878126337746,2.60111312204683,0.15861314580861,4.18293197308128,4.7629406475962,1.66098204186673,1.89173071245581,2.42016572896505,0.0764297089649058,4.25,4.7,1.68194749276577,1.97617386833617,2.45967477524977,0.102925306679616
20,5,0.9,54,3.71956485087713,6.11306834712291,2.27843612068803,2.38299708606701,3.03442893012551,0.153069831901198,3.65,6.1,2.25423577900991,2.29186203313973,2.91050728079813,0.18031500018782,3.91622015618177,5.56814169525845,1.9050583021668,1.71086814706009,2.50934450556804,0.0398102076537219,3.85,5.6,1.89944590258373,1.69829635997837,2.48945142974364,0.0456839894467134
20,5,0.9,55,3.94882597857472,4.26252841288231,2.11781611267817,1.89931373660744,2.31106577419044,0.342023995169699,4.1,4.3,2.07491280729932,2.02874085917453,2.19089023002066,0.430108885094054,3.90119847078323,4.17759470271924,1.87692790779933,1.74911211316326,2.21754005559646,0.253546952545733,4,4.15,1.86378223259219,1.75544266422131,2.1095023109729,0.321732236680845
20,5,0.9,56,4.55206332660734,5.5152557098178,2.26125020535235,2.32688303043189,2.85246824100578,0.227215357219448,4.65,5.55,2.3902213066444,2.35025194618073,3.02446167458816,0.185974917937147,4.55237519487855,5.13018716371589,1.93960998272732,1.85986009292835,2.52537273064032,0.116934394949957,4.65,5.15,2.00722379629703,1.87153188029148,2.68524231975244,0.0427319992327644
20,5,0.9,57,3.72866767700613,4.13124401340985,1.69328443545699,2.78962181961304,2.84048513584048,0.273185027177987,3.7,4.15,1.75018795983084,2.81490394339244,2.81864095657912,0.30874218295829,3.72173157955256,4.09599583920082,1.67880305493515,2.23245760536709,2.48393851724346,0.217763945225657,3.7,4.1,1.75018795983084,2.22190056151556,2.45806941788833,0.251738727574109
20,5,0.9,58,4.36127026882847,4.45660580133874,2.53976689923756,2.09169256399252,2.40470225425084,0.474643268656141,4.5,4.45,2.41704473751685,2.16369566884264,2.32775021267996,0.488098275214027,4.44243704932744,4.43837069977028,2.21621830075727,1.92296295405974,2.12436879760672,0.48061358392456,4.55,4.45,2.16369566884264,1.98613615900453,2.04939015319192,0.514999971884674
20,5,0.9,59,3.660865419115,5.7874578425952,2.71837735930476,2.24946046170649,4.13588268680015,-0.380700516040416,3.6,5.85,2.76062540587798,2.36809939336213,4.22866160237118,-0.355845322408253,3.65617155319135,5.37637344829721,2.22261383529093,1.66823317935696,3.32727073779087,-0.45143776914895,3.65,5.4,2.25423577900991,1.75918641482512,3.40085128661696,-0.427357243657104
20,5,0.9,60,4.1749591499011,5.62239769493593,1.72985822617013,2.04339844189313,2.16430310899741,0.351319173921521,4.15,5.6,1.8144159564879,2.21002500581233,2.35025194618073,0.330759933283403,4.25383326792944,5.48889816916423,1.48828089798682,1.75048646715548,1.68671484213409,0.467173613422276,4.25,5.4,1.55173926187427,1.78885438199983,1.75544266422131,0.45505501284016
20,3,0,61,3.97759965952235,5.42602836395786,1.49197414225056,1.61054920716722,1.88647453064974,0.262405968701647,3.95,5.55,1.57195821559574,1.66938375014948,1.93036674999174,0.291818091478029,3.94094905574351,5.24196712568973,1.40110231134104,1.30816596720679,1.84712335799428,0.0716146154492508,3.9,5.35,1.4473205733718,1.34848843251679,1.90497962414852,0.0728112022729476
20,3,0,62,3.83411081808717,5.45899913379809,1.70460684549164,1.75026519781115,2.61017953050546,-0.141431280440458,3.85,5.35,1.78517285024817,1.72520021721355,2.62578309121398,-0.118771277080349,3.83760455497363,5.22531889696822,1.69840193236097,1.36844377019676,2.26803209269037,-0.0832044356044207,3.85,5.15,1.78517285024817,1.38696943388321,2.36420677695724,-0.096718740475968
20,3,0,63,4.76731959331271,5.48088981055248,1.76598661380238,1.68188034376456,2.70205411829608,-0.22787627011525,4.7,5.5,1.75018795983084,1.7013926184468,2.72609224850672,-0.247448712574094,4.63769117194177,5.298238057644,1.37590360272217,1.39579323059951,2.17387457532367,-0.230250409863557,4.55,5.3,1.356271980176,1.38031270293899,2.12441942533409,-0.205231956249307
20,3,0,64,3.88090500835295,5.30271945959247,1.5741827182439,1.76512682873229,2.47192137688505,-0.0929722456611139,3.85,5.4,1.66306628661765,1.87504385913616,2.43818310266175,0.0540101504315749,3.90752973492093,5.14071156808659,1.51687200837577,1.51486321566426,2.18463457179954,-0.0384961338902429,3.9,5.2,1.55258697527368,1.57613785130482,2.05452004896008,0.137650006318592
20,3,0,65,3.85408909879256,4.99040498342099,1.71807485920696,1.93975832430259,2.45222522260329,0.105176816359561,3.85,5,1.75544266422131,2.05195670417031,2.60111312204683,0.0730569540233504,3.87300082110296,4.88049726842418,1.68233232893173,1.77035382125395,2.35929636981574,0.0668354799543377,3.85,4.85,1.75544266422131,1.8144159564879,2.44948974278318,0.0586612409913448
20,3,0,66,3.70375174227966,4.92743441003781,1.8304155799114,1.8048082401312,2.06869764967367,0.352385257103938,3.6,5,1.78885438199983,1.89181060585383,2.21002500581233,0.27994083850881,3.71484325812697,4.81485338097182,1.73698979104323,1.5656655058204,1.89631198887301,0.344256640596022,3.6,4.85,1.78885438199983,1.63111198750713,2.09949868703034,0.248923968868122
20,3,0,67,3.43756214628223,4.91472576905263,1.39096066525391,1.47043581942914,2.0383141798085,-0.01412289271712,3.5,4.9,1.39548142984872,1.58612404107756,2.13738650052619,-0.0237785402298126,3.45919978560826,4.88285928416485,1.34765193326071,1.41750900765055,1.91780142347539,0.0386155431037646,3.5,4.9,1.39548142984872,1.58612404107756,2.13738650052619,-0.0237785402298126
20,3,0,68,4.11596726462141,4.94996135989961,1.32693400959848,1.95502490846195,2.3499536698197,0.0116787958177272,4.15,5,1.30887657735053,2.05195670417031,2.45539148984863,-0.0195965450417405,4.11596726462141,4.86997196361724,1.32693400959848,1.82757169168652,2.213610661688,0.0413802979133728,4.15,4.9,1.30887657735053,1.88902648277667,2.26820123492279,0.0276727939214644
20,3,0,69,3.43389066665983,4.60826227379823,1.71659015053339,1.36447252600614,2.04509734583109,0.133642120106523,3.45,4.65,1.73129096949433,1.38696943388321,2.06728909698821,0.134798345242813,3.51731443263334,4.54100258121691,1.55680922646181,1.19294404992836,1.91500665750244,0.04833117044619,3.5,4.6,1.63835604381825,1.27320565172283,1.99736668746891,0.0756938871580392
20,3,0,70,3.69106883538422,4.81167671284356,1.32942527504755,1.71994260305325,1.78609567901854,0.335756118367476,3.6,4.8,1.46539019413009,1.67332005306815,1.85245214442058,0.309084050093359,3.68785787202087,4.81167671284356,1.32089951582265,1.71994260305325,1.78273585044756,0.335589199437421,3.6,4.8,1.46539019413009,1.67332005306815,1.85245214442058,0.309084050093359
20,3,0.1,71,4.49541329308147,5.39937440304374,2.01238131439691,1.51154863578416,2.58767922113024,-0.0594425117654932,4.45,5.4,2.08944716939295,1.42902248518275,2.56443283972766,-0.0282030400858128,4.47112335180298,5.24826414516013,1.62570824939644,1.24949705452483,2.13002877180441,-0.0819301609861164,4.45,5.3,1.63755273117186,1.26074330623269,2.1095023109729,-0.0433384481052218
20,3,0.1,72,3.5223263099675,4.46884615838546,1.54328824865973,1.89882221836875,2.4566014616611,-0.00812616335400648,3.6,4.5,1.56944509134179,1.90567020949807,2.42573917112203,0.0351951259533306,3.54760747710837,4.38628172274157,1.49636891686914,1.73633865921298,2.29368518590613,-0.0013470573045959,3.6,4.4,1.56944509134179,1.69829635997837,2.28496228230992,0.0236956180191007
